"Pond","Year","Alewife","Atlantic Menhaden","Atlantic Needlefish","Atlantic Silverside","Atlantic Tomcod","Bay Anchovy","Black Seabass","Crevalle Jack","Fourspine Stickleback","Goby","Grubby","Inshore Lizardfish","Mummichog","Northern Kingfish","Northern Pipefish","Oyster Toadfish","Rainwater Killifish","Scup","Sheepshead Minnow","Smallmouth Flounder","Spotfin Mojarra","Striped Killifish","Summer Flounder","Tautog","White Mullet","White Perch","Winter Flounder"
"GH","2010",0,0,0,20.9375,0,2,0,0,8.5,4,0,0,94,0,0,0,1,0,10.3333333333333,0,0,1.8,0,0,1,0,0
"GH","2011",0,0,0,29.4545454545455,0,1,0,0,1,3.6,0,0,16.2,0,1,7,2,0,13,0,0,6.15789473684211,1,0,1,0,1.57142857142857
"GH","2012",0,3,0,5.875,0,0,0,0,2,1.85714285714286,0,0,1.33333333333333,0,0,0,0,0,1,0,0,2.58333333333333,1,0,0,0,1
"GH","2013",0,0,0,34.093023255814,0,4,0,0,4.125,2.66666666666667,0,0,1.2,0,1,1.66666666666667,1,0,0,0,0,2.11111111111111,1,0,0,0,1.33333333333333
"GH","2014",0,0,1,197.564102564103,0,0,0,1,5.4,1.5,0,0,2.22222222222222,0,1,1,1.33333333333333,0,0,0,0,1,1.14285714285714,0,0,0,5.19148936170213
"GH","2015",0,611.666666666667,0,6.42222222222222,0,0,0,0,2,3.33333333333333,0,0,2.33333333333333,0,1.16666666666667,1,6,0,1.25,0,0,0,0,0,0,1,0
"NP","2010",0,1,1.5,30.0105263157895,2.1,0,1,1,10.12,1,1,1,6.73333333333333,0,1.45161290322581,0,6.28571428571429,1,3.77777777777778,0,0,9.84615384615385,0,1.53846153846154,5,0,1.8659793814433
"NP","2011",0,0,1,23.0666666666667,1.66666666666667,0,2.58333333333333,1,6.19230769230769,1,2.18181818181818,1,4.42857142857143,0,1.0952380952381,0,5.89473684210526,1,4.2,1,0,5.92857142857143,1,2.31818181818182,0,0,1.59883720930233
"NP","2012",0,0,1,22.7313432835821,0,2,5.48387096774194,1,5.85714285714286,1,0,0,3,0,1.33333333333333,0,2.55,2.90909090909091,2.75,0,9.83333333333333,7.54237288135593,1,1.21276595744681,2,0,1.38728323699422
"NP","2013",0,0,1.25,29.7619047619048,0,0,4.27777777777778,0,6.25,0,1,1,0,1,1.14285714285714,0,5.17647058823529,2.16666666666667,1.4,0,0,2.36363636363636,0,1,2,0,1.15
"NP","2014",12,1,1,56.6976744186046,1,1,4.4,1,10.0869565217391,1,1.4,1,12.5714285714286,0,1,0,5.25,1,11,0,0,2.33333333333333,1,1.07462686567164,3,0,1.05357142857143
"NP","2015",1,4.5,0,29.7234042553191,1,20,7.82352941176471,0,18.5135135135135,0,1,0,4.66666666666667,0,1.05,1,7.75,2.25,3,0,2,6.70967741935484,0,1.3,0,1.5,1.29032258064516
"PJ","2010",0,0,0,24.9655172413793,1,1,0,0,0,1,0,1.66666666666667,3.72222222222222,0,1.28571428571429,0,1.66666666666667,2,1,0,0,16.3220338983051,0,1.28571428571429,1.33333333333333,0,1
"PJ","2011",57,0,0,27.0133333333333,0,0,4,0,1,1.5,1,1.41666666666667,9.84615384615385,0,1.125,1,1,1,1,0,0,6.89285714285714,0,1.33333333333333,0,0,1.475
"PJ","2012",0,2,0,20.6944444444444,0,27,1.69230769230769,0,0,3,1,1,1.92857142857143,0,1.28571428571429,1.25,0,1.66666666666667,159,0,1.66666666666667,16.5277777777778,1,1,0,0,1.68333333333333
"PJ","2013",15.25,0,0,59.5740740740741,0,0,5.66666666666667,0,0,5,1.75,1.2,1,0,1.07142857142857,0,1,1.6,0,0,0,15.6538461538462,1,1.11111111111111,0,0,1.25
"PJ","2014",3.5,1,0,17.3488372093023,0,1,1,1,1,1.66666666666667,1.5,1.15384615384615,1.33333333333333,0,1.07692307692308,0,0,1,0,0,0,11.6153846153846,1,1,0,0,1.1875
"PJ","2015",0,1.2,0,39.314606741573,0,0,3.66666666666667,0,1.2,1,2,1.66666666666667,1,1,1.2,0,1,1,0,0,2.5,16.9756097560976,0,1,0,0,1.21666666666667
"PP","2010",0,0,0,13.6071428571429,0,2,0,4,0,0,0,0,11,0,1,1,5,0,10.2,0,0,2.4375,0,0,7.45454545454545,0,0
"PP","2011",0,2,0,6.24242424242424,0,1,0,2,1.5,6,0,0,6.21428571428571,0,1,1.25,1.5,0,1,0,0,4.625,1,0,3,0,1.52
"PP","2012",0,1,0,4.15151515151515,0,20.75,0,0,3,2.4,0,0,5,0,1.33333333333333,1.16666666666667,2,0,2,0,0,1.55555555555556,1,0,1.83333333333333,0,1.07407407407407
"PP","2013",11,0,0,4.93333333333333,0,0,0,0,2.2,2,0,0,3.8,0,1,1,2.33333333333333,0,0,0,0,1,1,0,2,0,1.57142857142857
"PP","2014",0,0,0,19.5283018867925,0,0,0,0,1.77777777777778,3,1,0,1.2,0,1.1,1,1.71428571428571,0,0,0,0,1.2,0,1,1,1.4,1
"PP","2015",0,377.2,0,11.0666666666667,0,0,0,0,6.26666666666667,1.4,0,0,9.36363636363636,0,1,1.4,6.41666666666667,0,0,0,0,5.53333333333333,0,1,0,0,1
"QP","2010",0,0,0,17.3965517241379,0,0,0,5.5,3.54545454545455,5.33333333333333,8.8,1,18.3333333333333,0,1.27272727272727,0,2.25,2,5,0,0,11.5833333333333,0,3,3.4,0,1.14285714285714
"QP","2011",0,2,0,26.4561403508772,0,0,2,0,2.25,0,5.2,1,7.75,0,1,0,6,0,7.5,0,0,11.6578947368421,0,1,11.4285714285714,0,1.42682926829268
"QP","2012",0,50,1,26.3076923076923,0,0,5.35294117647059,0,2,0,0,1,21,0,1.25,1,1,5.375,1,0,1,5.48648648648649,1,0,4.2,0,2.2710843373494
"QP","2013",0,0,1,12.9516129032258,0,1,2.54545454545455,0,0,0,1.5,1,1,0,1,0,0,1,0,0,0,2.2,0,1,4,0,1.09615384615385
"QP","2014",0,4372.5,1,13.4155844155844,0,0,4.42857142857143,0,0,1.25,1,1.5,0,0,1,1,0,1,0,0,0,3.2,1,1.15384615384615,2.16666666666667,0,1.34117647058824
"QP","2015",1,1,1,11.7317073170732,0,0,6.83333333333333,0,1,0,2,1.25,9,1.33333333333333,1,0,0,14.4,37,0,0,9.61764705882353,0,1,1.5,0,1.81132075471698
"WP","2010",0,1,0,12.2424242424242,0,0,2,1,1.5,0,3.5,0,65,0,1,0,4.5,0,43.125,0,0,16.7428571428571,1,0,1.83333333333333,0,1.58119658119658
"WP","2011",0,0,0,18.7659574468085,0,0,2,0,3.90909090909091,2,2,1,22.5,0,1,0,4,0,10.5,0,0,12.6176470588235,0,2,0,0,1.45263157894737
"WP","2012",0,0,0,5.66037735849057,0,1,3.77777777777778,0,3.25,1,2.5,0,6.72727272727273,0,1,0,2.28571428571429,1,2,0,0,3.65,1,1,1.5,0,2.47741935483871
"WP","2013",0,0,0,24.92,1,0,1.2,0,2,0,0,0,0,0,1.11111111111111,2.66666666666667,2.2,2.16666666666667,0,0,0,6.70833333333333,1,1,109.5,0,1.5
"WP","2014",0,5,0,19.1041666666667,0,1.5,3.66666666666667,1,2.5,0,1.5,1.6,10.2,0,1.25,0,1.25,0,0,0,1,13.0714285714286,1,1,0,0,1.33823529411765
"WP","2015",0,136.375,0,18.5512820512821,0,0,5,0,3.75,1,3,1.5,33.6666666666667,0,1.125,1,2.2,2,2,0,0,65.7941176470588,0,1,4,0,1.29761904761905
